date,name,kind,source,notes
2026-01-01,Ano Nuevo,public,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Non-working. Thursday.
2026-01-02,Puente de Ano Nuevo,bridge,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Friday between the holiday and the weekend. Not official; excluded as a control on traffic grounds.
2026-01-06,Dia de Reyes,working,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Feriado laborable: employer decides. Traffic is still lighter than a normal Tuesday.
2026-02-16,Carnaval,working,https://feriados.uy/,Feriado laborable but observed in practice by most of the country.
2026-02-17,Carnaval,working,https://feriados.uy/,Feriado laborable but observed in practice by most of the country.
2026-03-30,Semana de Turismo,working,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Uruguay largely empties for this week. Never a valid control day.
2026-03-31,Semana de Turismo,working,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Uruguay largely empties for this week. Never a valid control day.
2026-04-01,Semana de Turismo,working,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Uruguay largely empties for this week. Never a valid control day.
2026-04-02,Semana de Turismo,working,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Uruguay largely empties for this week. Never a valid control day.
2026-04-03,Semana de Turismo,working,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Uruguay largely empties for this week. Never a valid control day.
2026-04-04,Fin de Semana de Turismo,bridge,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Return weekend. Not official; excluded as a control on traffic grounds.
2026-04-05,Fin de Semana de Turismo,bridge,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Return weekend. Not official; excluded as a control on traffic grounds.
2026-04-19,Desembarco de los Treinta y Tres Orientales,working,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Feriado laborable. Falls on a Sunday in 2026.
2026-05-01,Dia de los Trabajadores,public,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Non-working. Friday: makes a long weekend.
2026-06-19,Natalicio de Artigas,working,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Feriado laborable. Friday. Sits between two Uruguay World Cup matches.
2026-07-18,Jura de la Constitucion,public,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Non-working. Saturday. Reads almost identically to a match day in the raw panel: this row is why the file exists.
2026-08-25,Declaratoria de la Independencia,public,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Non-working. Falls after the panel ends on 2026-08-12; listed for completeness.
2026-12-25,Navidad,public,https://www.elobservador.com.uy/nacional/estos-son-todos-los-feriados-2026-uruguay-que-dias-se-corren-y-cuales-se-mantienen-su-fecha-original-n6024895,Non-working. Outside the panel; listed for completeness.
