date,kickoff_local,competition,tier,venue,venue_lat,venue_lon,home,away,is_national_team,verified,source,notes
2026-02-01,20:00,Supercopa Uruguaya (final),blocked,Estadio Centenario,-34.894444,-56.152778,Penarol,Nacional,false,yes,https://en.wikipedia.org/wiki/2026_Supercopa_Uruguaya,Held out of the study as a season-opener rather than a marquee fixture. Still blocks its own date from serving as a control: a clasico final at the Centenario is not an ordinary Sunday.
2026-03-01,19:30,Torneo Apertura (fecha 4),clasico,Estadio Gran Parque Central,-34.8845,-56.1590,Nacional,Penarol,false,yes,https://www.espn.com.uy/futbol/uruguay/nota/_/id/16328764/clasico-torneo-apertura-2026-como-ver-penarol-vs-nacional-en-vivo-campeonato-uruguayo,Sunday evening league clasico.
2026-04-14,19:00,CONMEBOL Libertadores (group B MD2),libertadores,Estadio Gran Parque Central,-34.8845,-56.1590,Nacional,Deportes Tolima,false,yes,https://www.espn.com.uy/futbol/copa-libertadores/nota/_/id/16478031/libertadores-2026-fixture-horarios-resultados-y-tv-en-vivo,Nacional won 3-1.
2026-04-16,21:30,CONMEBOL Libertadores (group E MD2),libertadores,Estadio Campeon del Siglo,-34.796917,-56.067167,Penarol,Platense,false,yes,https://www.espn.com.ar/futbol/copa-libertadores/nota/_/id/16466681/fixture-de-penarol-en-la-fase-de-grupos-de-la-conmebol-libertadores-2026,No sensor within 8 km of this venue; corridor analysis only.
2026-05-20,19:00,CONMEBOL Libertadores (group B MD5),libertadores,Estadio Gran Parque Central,-34.8845,-56.1590,Nacional,Universitario,false,yes,https://www.espn.com.uy/futbol/copa-libertadores/nota/_/id/16478031/libertadores-2026-fixture-horarios-resultados-y-tv-en-vivo,Goalless draw.
2026-05-21,21:30,CONMEBOL Libertadores (group E MD5),libertadores,Estadio Campeon del Siglo,-34.796917,-56.067167,Penarol,Corinthians,false,yes,https://www.espn.com.ar/futbol/copa-libertadores/nota/_/id/16466681/fixture-de-penarol-en-la-fase-de-grupos-de-la-conmebol-libertadores-2026,Highest-profile Penarol home tie of the group stage.
2026-05-26,21:30,CONMEBOL Libertadores (group B MD6),libertadores,Estadio Gran Parque Central,-34.8845,-56.1590,Nacional,Coquimbo Unido,false,yes,curator: repository owner,Kick-off 21:30 Uruguay local (00:30 UTC). Date came from the ESPN fixture list; the time was not published there and was supplied directly.
2026-05-27,21:30,CONMEBOL Libertadores (group E MD6),libertadores,Estadio Campeon del Siglo,-34.796917,-56.067167,Penarol,Independiente Santa Fe,false,yes,https://www.espn.com.ar/futbol/copa-libertadores/nota/_/id/16466681/fixture-de-penarol-en-la-fase-de-grupos-de-la-conmebol-libertadores-2026,Group-stage closer in Montevideo.
2026-06-15,19:00,FIFA World Cup (group H MD1),national,Hard Rock Stadium Miami,,,Saudi Arabia,Uruguay,true,yes,https://www.espn.com.ar/futbol/mundial/nota/_/id/16051087/seleccion-uruguaya-bielsa-cuando-donde-juega-calendario-2026-fixture-dia-hora-rivales,Drew 1-1. Kick-off 18:00 Miami = 19:00 Uruguay. No Montevideo venue: broadcast effect only.
2026-06-21,19:00,FIFA World Cup (group H MD2),national,Hard Rock Stadium Miami,,,Uruguay,Cape Verde,true,yes,https://www.elobservador.com.uy/mundial-2026/uruguay-vs-cabo-verde-dia-hora-y-donde-ver-la-celeste-su-segundo-partido-el-mundial-2026-n6048034,Drew 2-2. Sunday 19:00 Uruguay time. No Montevideo venue: broadcast effect only.
2026-06-26,21:00,FIFA World Cup (group H MD3),national,Estadio Akron Guadalajara,,,Spain,Uruguay,true,yes,https://www.espn.com.ar/futbol/mundial/nota/_/id/16051087/seleccion-uruguaya-bielsa-cuando-donde-juega-calendario-2026-fixture-dia-hora-rivales,Lost 0-1 and were eliminated. 20:00 Guadalajara = 21:00 Uruguay.
2026-07-19,16:00,FIFA World Cup (final),broadcast,MetLife Stadium New Jersey,,,Spain,Argentina,false,yes,https://www.foxsports.com/stories/soccer/2026-world-cup-final-afternoon-match-metlife-stadium-july-19,Spain won 1-0 in extra time. 15:00 EDT = 16:00 Uruguay. No Uruguayan side but a River Plate rival in a final draws a large Montevideo audience.
2026-08-02,,Torneo Intermedio (final),blocked,Estadio Centenario,-34.894444,-56.152778,Penarol,Montevideo Wanderers,false,time-unknown,https://www.365scores.com/es/news/penarol-wanderers-final-intermedio/,Held out of the study as a lesser fixture and in any case has no sourced kick-off time. Still blocks its own date from serving as a control.
